Date,Temperature,Humidity,Pressure,City
2024-01-01,22.5,65,1013.2,New York
2024-01-02,20.1,70,1015.8,New York
2024-01-03,18.7,75,1012.5,New York
2024-01-04,25.3,60,1018.1,New York
2024-01-05,27.8,55,1020.3,New York
2024-01-06,23.4,68,1016.7,New York
2024-01-07,21.9,72,1014.2,New York
2024-01-01,28.9,45,1009.8,Los Angeles
2024-01-02,31.2,40,1011.4,Los Angeles
2024-01-03,29.5,48,1013.6,Los Angeles
2024-01-04,33.1,35,1015.2,Los Angeles
2024-01-05,30.7,42,1012.8,Los Angeles
2024-01-06,32.6,38,1014.5,Los Angeles
2024-01-07,34.2,33,1016.9,Los Angeles
2024-01-01,15.2,80,1005.3,Chicago
2024-01-02,12.8,85,1007.1,Chicago
2024-01-03,10.4,90,1004.8,Chicago
2024-01-04,16.7,75,1008.9,Chicago
2024-01-05,19.3,70,1010.2,Chicago
2024-01-06,14.6,78,1006.5,Chicago
2024-01-07,17.1,73,1009.7,Chicago
